SOTA-REF,COUNTY,STATE
W7I/BC-079,BOISE,ID
W7I/BC-081,BOISE,ID
W7I/BC-082,BOISE,ID
W7I/BC-083,BOISE,ID
W7I/BC-084,BOISE,ID
W7I/BC-085,BOISE,ID
W7I/BC-086,BOISE,ID
W7I/BC-087,BOISE,ID
W7I/BC-088,BOISE,ID
W7I/BC-089,BOISE,ID
W7I/BC-091,BOISE,ID
W7I/BC-092,BOISE,ID
W7I/BC-093,BOISE,ID
W7I/BC-094,BOISE,ID
W7I/BC-095,BOISE,ID
W7I/BC-096,BOISE,ID
W7I/BC-097,BOISE,ID
W7I/BC-098,BOISE,ID
W7I/BC-099,BOISE,ID
W7I/BC-101,BOISE,ID
W7I/BC-102,BOISE,ID
W7I/CU-001,CUSTER,ID
W7I/CU-002,CUSTER,ID
W7I/CU-003,CUSTER,ID
W7I/CU-004,CUSTER,ID
W7I/CU-005,CUSTER,ID
W7I/CU-006,CUSTER,ID
W7I/CU-007,CUSTER,ID
W7I/CU-008,CUSTER,ID
W7I/CU-009,CUSTER,ID
W7I/CU-010,CUSTER,ID
W7I/CU-011,CUSTER,ID
W7I/CU-013,CUSTER,ID
W7I/CU-014,CUSTER,ID
W7I/CU-015,CUSTER,ID
W7I/CU-016,CUSTER,ID
W7I/CU-017,CUSTER,ID
W7I/CU-018,CUSTER,ID
W7I/CU-019,CUSTER,ID
W7I/CU-020,CUSTER,ID
W7I/CU-021,CUSTER,ID
W7I/CU-022,CUSTER,ID
W7I/CU-023,CUSTER,ID
W7I/CU-024,CUSTER,ID
W7I/CU-025,CUSTER,ID
W7I/CU-026,CUSTER,ID
W7I/CU-027,CUSTER,ID
W7I/CU-028,CUSTER,ID
W7I/CU-029,CUSTER,ID
W7I/CU-030,CUSTER,ID
W7I/CU-031,CUSTER,ID
W7I/CU-032,CUSTER,ID
W7I/CU-033,CUSTER,ID
W7I/CU-034,CUSTER,ID
W7I/CU-035,CUSTER,ID
W7I/CU-036,CUSTER,ID
W7I/CU-037,CUSTER,ID
W7I/CU-038,CUSTER,ID
W7I/CU-039,CUSTER,ID
W7I/CU-040,CUSTER,ID
W7I/CU-041,CUSTER,ID
W7I/CU-042,CUSTER,ID
W7I/CU-043,CUSTER,ID
W7I/CU-044,CUSTER,ID
W7I/CU-045,CUSTER,ID
W7I/CU-046,CUSTER,ID
W7I/CU-047,CUSTER,ID
W7I/CU-048,CUSTER,ID
W7I/CU-049,CUSTER,ID
W7I/CU-050,CUSTER,ID
W7I/CU-051,CUSTER,ID
W7I/CU-052,CUSTER,ID
W7I/CU-053,CUSTER,ID
W7I/CU-054,CUSTER,ID
W7I/CU-055,CUSTER,ID
W7I/CU-056,CUSTER,ID
W7I/CU-057,CUSTER,ID
W7I/CU-058,CUSTER,ID
W7I/CU-059,CUSTER,ID
W7I/CU-060,CUSTER,ID
W7I/CU-061,CUSTER,ID
W7I/CU-062,CUSTER,ID
W7I/CU-063,CUSTER,ID
W7I/CU-064,CUSTER,ID
W7I/CU-065,CUSTER,ID
W7I/CU-066,CUSTER,ID
W7I/CU-067,CUSTER,ID
W7I/CU-068,CUSTER,ID
W7I/CU-069,CUSTER,ID
W7I/CU-070,CUSTER,ID
W7I/CU-071,CUSTER,ID
W7I/CU-072,CUSTER,ID
W7I/CU-073,CUSTER,ID
W7I/CU-074,CUSTER,ID
W7I/CU-075,CUSTER,ID
W7I/CU-076,CUSTER,ID
W7I/CU-077,CUSTER,ID
W7I/CU-078,CUSTER,ID
W7I/CU-079,CUSTER,ID
W7I/CU-080,CUSTER,ID
W7I/CU-081,CUSTER,ID
W7I/CU-082,CUSTER,ID
W7I/CU-083,CUSTER,ID
W7I/CU-084,CUSTER,ID
W7I/CU-085,CUSTER,ID
W7I/CU-086,CUSTER,ID
W7I/CU-087,CUSTER,ID
W7I/CU-088,CUSTER,ID
W7I/CU-089,CUSTER,ID
W7I/CU-090,CUSTER,ID
W7I/CU-092,CUSTER,ID
W7I/CU-093,CUSTER,ID
W7I/CU-094,CUSTER,ID
W7I/CU-095,CUSTER,ID
W7I/CU-096,CUSTER,ID
W7I/CU-097,CUSTER,ID
W7I/CU-098,CUSTER,ID
W7I/CU-099,CUSTER,ID
W7I/CU-100,CUSTER,ID
W7I/CU-102,CUSTER,ID
W7I/CU-103,CUSTER,ID
W7I/CU-104,CUSTER,ID
W7I/CU-105,CUSTER,ID
W7I/CU-106,CUSTER,ID
W7I/CU-107,CUSTER,ID
W7I/CU-108,CUSTER,ID
W7I/CU-109,CUSTER,ID
W7I/CU-110,CUSTER,ID
W7I/CU-111,CUSTER,ID
W7I/CU-112,CUSTER,ID
W7I/CU-113,CUSTER,ID
W7I/CU-114,CUSTER,ID
W7I/CU-115,CUSTER,ID
W7I/CU-116,CUSTER,ID
W7I/CU-117,CUSTER,ID
W7I/CU-119,CUSTER,ID
W7I/CU-120,CUSTER,ID
W7I/CU-121,CUSTER,ID
W7I/CU-122,CUSTER,ID
W7I/CU-123,CUSTER,ID
W7I/CU-124,CUSTER,ID
W7I/CU-125,CUSTER,ID
W7I/CU-126,CUSTER,ID
W7I/CU-127,CUSTER,ID
W7I/CU-128,CUSTER,ID
W7I/CU-129,CUSTER,ID
W7I/CU-130,CUSTER,ID
W7I/CU-131,CUSTER,ID
W7I/CU-132,CUSTER,ID
W7I/CU-133,CUSTER,ID
W7I/CU-134,CUSTER,ID
W7I/CU-135,CUSTER,ID
W7I/CU-136,CUSTER,ID
W7I/CU-137,CUSTER,ID
W7I/CU-138,CUSTER,ID
W7I/CU-139,CUSTER,ID
W7I/CU-140,CUSTER,ID
W7I/CU-141,CUSTER,ID
W7I/CU-142,CUSTER,ID
W7I/CU-143,CUSTER,ID
W7I/CU-144,CUSTER,ID
W7I/CU-145,CUSTER,ID
W7I/CU-146,CUSTER,ID
W7I/CU-147,CUSTER,ID
W7I/CU-149,CUSTER,ID
W7I/CU-150,CUSTER,ID
W7I/CU-151,CUSTER,ID
W7I/CU-152,CUSTER,ID
W7I/CU-153,CUSTER,ID
W7I/CU-154,CUSTER,ID
W7I/CU-155,CUSTER,ID
W7I/CU-156,CUSTER,ID
W7I/CU-157,CUSTER,ID
W7I/CU-158,CUSTER,ID
W7I/CU-159,CUSTER,ID
W7I/CU-160,CUSTER,ID
W7I/CU-161,CUSTER,ID
W7I/CU-162,CUSTER,ID
W7I/CU-163,CUSTER,ID
W7I/CU-164,CUSTER,ID
W7I/CU-165,CUSTER,ID
W7I/CU-166,CUSTER,ID
W7I/CU-167,CUSTER,ID
W7I/CU-168,CUSTER,ID
W7I/CU-169,CUSTER,ID
W7I/CU-170,CUSTER,ID
W7I/CU-171,CUSTER,ID
W7I/CU-172,CUSTER,ID
W7I/CU-173,CUSTER,ID
W7I/CU-174,CUSTER,ID
W7I/CU-175,CUSTER,ID
W7I/CU-176,CUSTER,ID
W7I/CU-177,CUSTER,ID
W7I/CU-178,CUSTER,ID
W7I/CU-179,CUSTER,ID
W7I/CU-180,CUSTER,ID
W7I/CU-181,CUSTER,ID
W7I/CU-182,CUSTER,ID
W7I/CU-183,CUSTER,ID
W7I/CU-185,CUSTER,ID
W7I/CU-186,CUSTER,ID
W7I/CU-187,CUSTER,ID
W7I/CU-188,CUSTER,ID
W7I/CU-189,CUSTER,ID
W7I/CU-190,CUSTER,ID
W7I/CU-191,CUSTER,ID
W7I/CU-192,CUSTER,ID
W7I/CU-193,CUSTER,ID
W7I/CU-194,CUSTER,ID
W7I/CU-195,CUSTER,ID
W7I/CU-196,CUSTER,ID
W7I/CU-197,CUSTER,ID
W7I/CU-198,CUSTER,ID
W7I/CU-199,CUSTER,ID
W7I/CU-200,CUSTER,ID
W7I/CU-201,CUSTER,ID
W7I/CU-202,CUSTER,ID
W7I/CU-203,CUSTER,ID
W7I/CU-204,CUSTER,ID
W7I/CU-205,CUSTER,ID
W7I/CU-206,CUSTER,ID
W7I/CU-207,CUSTER,ID
W7I/CU-208,CUSTER,ID
W7I/CU-209,CUSTER,ID
W7I/CU-210,CUSTER,ID
W7I/CU-211,CUSTER,ID
W7I/CU-212,CUSTER,ID
W7I/CU-213,CUSTER,ID
W7I/CU-214,CUSTER,ID
W7I/CU-215,CUSTER,ID
W7I/CU-216,CUSTER,ID
W7I/CU-217,CUSTER,ID
W7I/CU-218,CUSTER,ID
W7I/CU-219,CUSTER,ID
W7I/CU-220,CUSTER,ID
W7I/CU-221,CUSTER,ID
W7I/CU-222,CUSTER,ID
W7I/CU-223,CUSTER,ID
W7I/CU-224,CUSTER,ID
W7I/CU-225,CUSTER,ID
W7I/CU-226,CUSTER,ID
W7I/CU-227,CUSTER,ID
W7I/CU-228,CUSTER,ID
W7I/CU-229,CUSTER,ID
W7I/CU-230,CUSTER,ID
W7I/CU-231,CUSTER,ID
W7I/CU-232,CUSTER,ID
W7I/CU-233,CUSTER,ID
W7I/CU-234,CUSTER,ID
W7I/CU-235,CUSTER,ID
W7I/CU-236,CUSTER,ID
W7I/CU-237,CUSTER,ID
W7I/CU-239,CUSTER,ID
W7I/CU-240,CUSTER,ID
W7I/CU-241,CUSTER,ID
W7I/CU-242,CUSTER,ID
W7I/CU-243,CUSTER,ID
W7I/CU-244,CUSTER,ID
W7I/CU-245,CUSTER,ID
W7I/CU-246,CUSTER,ID
W7I/CU-247,CUSTER,ID
W7I/CU-248,CUSTER,ID
W7I/CU-249,CUSTER,ID
W7I/CU-250,CUSTER,ID
W7I/CU-251,CUSTER,ID
W7I/CU-252,CUSTER,ID
W7I/CU-253,CUSTER,ID
W7I/CU-254,CUSTER,ID
W7I/CU-255,CUSTER,ID
W7I/CU-256,CUSTER,ID
W7I/CU-257,CUSTER,ID
W7I/CU-258,CUSTER,ID
W7I/CU-259,CUSTER,ID
W7I/CU-260,CUSTER,ID
W7I/CU-261,CUSTER,ID
W7I/CU-262,CUSTER,ID
W7I/CU-263,CUSTER,ID
W7I/CU-264,CUSTER,ID
W7I/CU-265,CUSTER,ID
W7I/CU-266,CUSTER,ID
W7I/CU-267,CUSTER,ID
W7I/CU-268,CUSTER,ID
W7I/CU-269,CUSTER,ID
W7I/CU-270,CUSTER,ID
W7I/CU-271,CUSTER,ID
W7I/CU-272,CUSTER,ID
W7I/CU-273,CUSTER,ID
W7I/CU-274,CUSTER,ID
W7I/CU-275,CUSTER,ID
W7I/CU-276,CUSTER,ID
W7I/CU-277,CUSTER,ID
W7I/CU-278,CUSTER,ID
W7I/CU-279,CUSTER,ID
W7I/CU-280,CUSTER,ID
W7I/CU-281,CUSTER,ID
W7I/CU-282,CUSTER,ID
W7I/CU-283,CUSTER,ID
W7I/CU-284,CUSTER,ID
W7I/CU-285,CUSTER,ID
W7I/CU-286,CUSTER,ID
W7I/CU-287,CUSTER,ID
W7I/CU-288,CUSTER,ID
W7I/CU-289,CUSTER,ID
W7I/CU-290,CUSTER,ID
W7I/CU-292,CUSTER,ID
W7I/CU-293,CUSTER,ID
W7I/CU-294,CUSTER,ID
W7I/CU-295,CUSTER,ID
W7I/CU-296,CUSTER,ID
W7I/CU-297,CUSTER,ID
W7I/CU-298,CUSTER,ID
W7I/CU-299,CUSTER,ID
W7I/CU-300,CUSTER,ID
